person_id,id,name,character,role
3748,tm84618,Robert De Niro,Travis Bickle,actor
14658,tm84618,Jodie Foster,Iris Steensma,actor
7064,tm84618,Albert Brooks,Tom,actor
3739,tm84618,Harvey Keitel,Matthew 'Sport' Higgins,actor
48933,tm84618,Cybill Shepherd,Betsy,actor
32267,tm84618,Peter Boyle,Wizard,actor
519612,tm84618,Leonard Harris,Senator Charles Palantine,actor
29068,tm84618,Diahnne Abbott,Concession Girl,actor
519613,tm84618,Gino Ardito,Policeman at Rally,actor
3308,tm84618,Martin Scorsese,Passenger Watching Silhouette,actor
43791,tm84618,Murray Moston,Iris' Time Keeper,actor
519614,tm84618,Richard Higgs,Secret Service Agent,actor
519615,tm84618,Bill Minkin,Tom's Assistant (uncredited),actor
82426,tm84618,Bob Maroff,Mafioso (uncredited),actor
20935,tm84618,Victor Argo,"Melio, Delicatessen Owner",actor
7753,tm84618,Joe Spinell,Personell Officer,actor
43279,tm84618,Robinson Frank Adu,Angry Black Man (uncredited),actor
519616,tm84618,Brenda Dickson,Soap Opera Woman (uncredited),actor
8424,tm84618,Norman Matlock,Charlie T,actor
20447,tm84618,Harry Northup,Doughboy,actor
519618,tm84618,Harlan Cary Poe,Campaign Worker (uncredited),actor
49567,tm84618,Steven Prince,Andy - Gun Salesman,actor
15551,tm84618,Peter Savage,The John,actor
475303,tm84618,Nicholas Shields,Palantine's Aide (uncredited),actor
43540,tm84618,Ralph S. Singleton,T.V. Interviewer (uncredited),actor
466061,tm84618,Annie Gagen,Campaign Worker (uncredited),actor
212023,tm84618,Carson Grant,Political rallier (uncredited),actor
5367,tm84618,Mary-Pat Green,Campaign Aide (uncredited),actor
17421,tm84618,Debbi Morgan,Girl at Columbus Circle (uncredited),actor
38141,tm84618,Don Stroud,Policeman (uncredited),actor
811415,tm84618,Copper Cunningham,Hooker in Cab,actor
1141852,tm84618,Garth Avery,Iris' friend,actor
1662310,tm84618,Nat Grant,Stick-aup Man,actor
1393387,tm84618,Billie Perkins,Iris' Friend (uncredited),actor
9446,tm84618,Catherine Scorsese,Iris' Mother (newspaper article) (uncredited),actor
9451,tm84618,Charles Scorsese,Iris' Father (newspaper article) (uncredited),actor
3308,tm84618,Martin Scorsese,Unknown,director
10103,tm154986,Jon Voight,Ed Gentry,actor
13020,tm154986,Burt Reynolds,Lewis Medlock,actor
6639,tm154986,Ned Beatty,Bobby Trippe,actor
11224,tm154986,Ronny Cox,Drew Ballinger,actor
24509,tm154986,Ed Ramey,Old Man at the Gas-Station,actor
80069,tm154986,Billy Redden,Lonnie - The Banjo Boy,actor
84032,tm154986,Seamon Glass,First Griner,actor
84031,tm154986,Randall Deal,Second Griner,actor
7918,tm154986,Bill McKinney,Mountain Man,actor
197405,tm154986,Herbert 'Cowboy' Coward,Toothless Man,actor
618692,tm154986,Lewis Crone,First Deputy,actor
618691,tm154986,Ken Keener,Second Deputy,actor
498130,tm154986,Johnny Popwell,Ambulance Driver,actor
618690,tm154986,John Fowler,Doctor,actor
217036,tm154986,Kathy Rickman,Nurse,actor
618689,tm154986,Louise Coldren,Mrs. Biddiford,actor
618688,tm154986,Pete Ware,Taxi Driver,actor
24510,tm154986,James Dickey,Sheriff Bullard,actor
53804,tm154986,Macon McCalman,Deputy Queen,actor
618687,tm154986,Hoyt Pollard,Boy at Gas Station,actor
37993,tm154986,Belinda Beatty,Martha Gentry,actor
100262,tm154986,Charley Boorman,Ed's Boy,actor
17727,tm154986,John Boorman,Unknown,director
11472,tm127384,Graham Chapman,King Arthur / Voice of God / Middle Head / Hiccoughing Guard,actor
1549,tm127384,John Cleese,Second Swallow-Savvy Guard / The Black Knight / Peasant 3 / Sir Launcelot the Brave / Taunting French Guard / Tim the Enchanter,actor
11474,tm127384,Eric Idle,Dead Collector / Peasant 1 / Sir Robin the Not-Quite-So-Brave-as-Sir Launcelot / First Swamp Castle Guard / Concorde / Roger the Shrubber / Brother Maynard,actor
11473,tm127384,Terry Gilliam,Patsy / Green Knight / Old Man from Scene 24 (Bridgekeeper) / Sir Bors / Animator / Gorilla Hand,actor
11475,tm127384,Terry Jones,Dennis's Mother / Sir Bedevere / Left Head / Prince Herbert / Voice of Cartoon Scribe,actor
11476,tm127384,Michael Palin,First Swallow-Savvy Guard / Dennis / Peasant 2 / Right Head / Sir Galahad the Pure / Narrator / King of Swamp Castle / Brother Maynard's Brother / Leader of The Knights Who Say NI!,actor
40898,tm127384,Connie Booth,The Witch,actor
11478,tm127384,Carol Cleveland,Zoot / Dingo,actor
11482,tm127384,Neil Innes,First Monk / Singing Minstrel / Page Crushed by the Rabbit / Peasant #4,actor
40899,tm127384,Bee Duffell,Old Crone,actor
11481,tm127384,John Young,Dead Body / Historian Frank,actor
40900,tm127384,Rita Davies,Historian's Wife,actor
40901,tm127384,Avril Stewart,Dr. Piglet,actor
40902,tm127384,Sally Kinghorn,Dr. Winston,actor
40903,tm127384,Mark Zycon,Prisoner,actor
1275018,tm127384,Elspeth Cameron,Girl in Castle Anthrax,actor
1462970,tm127384,Mitsuko Forstater,Girl in Castle Anthrax,actor
589811,tm127384,Sandy Johnson,Knight of Ni / Villager at Witch Burning / Musician at Wedding / Monk / Knight in Battle,actor
976111,tm127384,Sandy Rose,Girl in Castle Anthrax,actor
1462971,tm127384,Romilly Squire,Musician at Wedding / Villager at Witch Burning,actor
90024,tm127384,Joni Flynn,Girl in Castle Anthrax,actor
1462991,tm127384,Alison Walker,Girl in Castle Anthrax,actor
1462993,tm127384,Loraine Ward,Girl in Castle Anthrax,actor
1462994,tm127384,Anna Lanski,Girl in Castle Anthrax,actor
1462623,tm127384,Sally Coombe,Girl in Castle Anthrax,actor
1462995,tm127384,Vivienne MacDonald,Girl in Castle Anthrax,actor
1462975,tm127384,Yvonne Dick,Girl in Castle Anthrax,actor
1462978,tm127384,Daphne Darling,Girl in Castle Anthrax,actor
703435,tm127384,Fiona Gordon,Girl in Castle Anthrax,actor
1463011,tm127384,Judy Lamb,Girl in Castle Anthrax,actor
1462986,tm127384,Tracy Sneddon,Girl in Castle Anthrax,actor
1462588,tm127384,Joyce Pollner,Girl in Castle Anthrax,actor
889417,tm127384,Mary Allen,Girl in Castle Anthrax,actor
1464056,tm127384,Gloria Graham,Girl in Castle Anthrax,actor
1671807,tm127384,Sylvia Taylor,Girl in Castle Anthrax,actor
